url,namn,annat_namn,kategori,muggnummer,tillverkad,tema,varumarke,designer,vikt,volym,material,bildfil
https://www.mukify.com/sv/arabia-muminmugg-tid-pa-stranden-2015,Tid på stranden,Ögonblick på stranden,Muminmugg,72,2015,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-tid-pa-stranden-2015.jpg
https://www.mukify.com/sv/arabia-muminmugg-lilla-my-2015-2021,Lilla My,,Muminmugg,71,2015–2021,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-lilla-my-2015-2021.jpg
https://www.mukify.com/sv/arabia-muminmugg-snusmumriken-2015,Snusmumriken,Snusmumriken grön,Muminmugg,70,2015–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-snusmumriken-2015.jpg
https://www.mukify.com/sv/arabia-muminmugg-hall-vattnet-rent-2015,Håll vattnet rent,,Muminmugg,69,2015,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-hall-vattnet-rent-2015.jpg
https://www.mukify.com/sv/arabia-muminmugg-muminhuset-2015,Muminhuset,,Muminmugg,68,2015–,Moomin 75,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-muminhuset-2015.jpg
https://www.mukify.com/sv/arabia-muminmugg-skida-med-herr-brisk-2014,Skida med herr Brisk,,Muminmugg,67,2014,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-skida-med-herr-brisk-2014.jpg
https://www.mukify.com/sv/arabia-muminmugg-segling-med-klippdassen-och-too-ticki-2014,Segling med Klippdassen och Too-ticki,,Muminmugg,66,2014,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-segling-med-klippdassen-och-too-ticki-2014.jpg
https://www.mukify.com/sv/arabia-muminmugg-muminpappan-2014-2022,Muminpappan,Muminpappan mörkblå,Muminmugg,65,2014–2022,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-muminpappan-2014-2022.jpg
https://www.mukify.com/sv/arabia-muminmugg-muminmamma-2014-2020,Muminmamma,Muminmamma aprikos,Muminmugg,64,2014–2020,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-muminmamma-2014-2020.jpg
https://www.mukify.com/sv/arabia-muminmugg-toves-jubileum-2014,Toves jubileum,Glasögon,Muminmugg,63,2014,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-toves-jubileum-2014.jpg
https://www.mukify.com/sv/arabia-muminmugg-under-granen-2013,Under granen,,Muminmugg,62,2013,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-under-granen-2013.jpg
https://www.mukify.com/sv/arabia-muminmugg-mumin-pa-aventyr-flytten-2013,Mumin på äventyr – flytten,,Muminmugg,61,2013–,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-mumin-pa-aventyr-flytten-2013.jpg
https://www.mukify.com/sv/arabia-muminmugg-snorkfroken-och-poeten-2013,Snorkfröken och poeten,,Muminmugg,60,2013,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-snorkfroken-och-poeten-2013.jpg
https://www.mukify.com/sv/arabia-muminmugg-mumintrollet-2013-2018,Mumintrollet,Mumintrollet turkos,Muminmugg,59,2013–2018,Karaktärer,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-mumintrollet-2013-2018.jpg
https://www.mukify.com/sv/arabia-muminmugg-snorkfroken-2013-2019,Snorkfröken,Snorkfröken rosa,Muminmugg,58,2013–2019,Karaktärer,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-snorkfroken-2013-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-vinterskog-2012,Vinterskog,,Muminmugg,57,2012,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-vinterskog-2012.jpg
https://www.mukify.com/sv/arabia-muminmugg-stockmann-2012,Stockmann,,Muminmugg,56,2012,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-stockmann-2012.jpg
https://www.mukify.com/sv/arabia-muminmugg-primadonnas-hast-2012,Primadonnas häst,,Muminmugg,55,2012,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-primadonnas-hast-2012.jpg
https://www.mukify.com/sv/arabia-muminmugg-mymlans-mamma-2012,Mymlans mamma,,Muminmugg,54,2012–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-mymlans-mamma-2012.jpg
https://www.mukify.com/sv/arabia-muminmugg-hurraa-2012,Hurraa!,,Muminmugg,53,2012,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-hurraa-2012.jpg
https://www.mukify.com/sv/arabia-muminmugg-snolekar-2011,Snölekar,,Muminmugg,52,2011,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-snolekar-2011.jpg
https://www.mukify.com/sv/arabia-muminmugg-sapbubblor-2011,Såpbubblor,,Muminmugg,51,2011,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-sapbubblor-2011.jpg
https://www.mukify.com/sv/arabia-muminmugg-sas-djuret-2011-2019,Sås-djuret,,Muminmugg,50,2011–2019,Karaktärer,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-sas-djuret-2011-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-skidtavling-2010,Skidtävling,,Muminmugg,49,2010,Vintersäsong,Arabia,Kaj Franck,,,Vitroporslin,mug_images/arabia-muminmugg-skidtavling-2010.jpg
https://www.mukify.com/sv/arabia-muminmugg-rosentradgard-2010,Rosenträdgård,,Muminmugg,48,2010,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-rosentradgard-2010.jpg
https://www.mukify.com/sv/arabia-muminmugg-radd-djuret-2010-2019,Rådd-djuret,,Muminmugg,47,2010–2019,Karaktärer,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-radd-djuret-2010-2019.jpg
https://www.mukify.com/sv/arabia-muminmugg-kvallsseglats-2010,Kvällsseglats,,Muminmugg,46,2010,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-kvallsseglats-2010.jpg
https://www.mukify.com/sv/arabia-muminmugg-juloverraskning-2009,Julöverraskning,,Muminmugg,45,2009,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-juloverraskning-2009.jpg
https://www.mukify.com/sv/arabia-muminmugg-aventyr-2009-2013,Äventyr,,Muminmugg,44,2009–2013,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-aventyr-2009-2013.jpg
https://www.mukify.com/sv/arabia-muminmugg-siesta-2009,Siesta,,Muminmugg,43,2009,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-siesta-2009.jpg
https://www.mukify.com/sv/arabia-muminmugg-polismastaren-2009-2020,Polismästaren,,Muminmugg,42,2009–2020,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-polismastaren-2009-2020.jpg
https://www.mukify.com/sv/arabia-muminmugg-vinterbrasa-2008,Vinterbrasa,,Muminmugg,41,2008,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-vinterbrasa-2008.jpg
https://www.mukify.com/sv/arabia-muminmugg-sniff-2008-2024,Sniff,Sniff turkos,Muminmugg,40,2008–2024,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-sniff-2008-2024.jpg
https://www.mukify.com/sv/arabia-muminmugg-strandliv-2008,Strandliv,,Muminmugg,39,2008,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-strandliv-2008.jpg
https://www.mukify.com/sv/arabia-muminmugg-mymlan-2008,Mymlan,,Muminmugg,38,2008–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-mymlan-2008.jpg
https://www.mukify.com/sv/arabia-muminmugg-lilla-my-2008-2014,Lilla My,Lilla My gul,Muminmugg,37,2008–2014,Karaktärer,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-lilla-my-2008-2014.jpg
https://www.mukify.com/sv/arabia-muminmugg-snolykta-2007,Snölykta,,Muminmugg,36,2007,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-snolykta-2007.jpg
https://www.mukify.com/sv/arabia-muminmugg-delfindykning-2007,Delfindykning,,Muminmugg,35,2007,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-delfindykning-2007.jpg
